Word,Translation
Word,Translation
abends,in the evening
aber,but
abfahren,to depart
abholen,to pick up
abkratzen,to scrape
ablenken,to distract
abziehen,to deduct
achten,to pay attention
ahnen,to suspect
ähnlich,similar
alle,all
allein,alone
allergisch gegen,allergic to
als,when
also,so
alt,old
an,at
ander,other
anfangen,to begin
angeben,to state
angeln,to go fishing
angewiesen,reliant
anhalten,to stop
ankommen,to arrive
anmachen,to turn on
anprobieren,to try on
anrufen,to phone
anstatt,instead of
anstellen,to employ
antworten,to answer
anzünden,to light
April,April
arbeiten,to work
arm,poor
auch,also
auf,on
Auf Wiedersehen,goodbye
auffordern,to ask
aufgeregt,excited
aufhalten,to stop
aufmachen,to open
aufpassen,to pay attention
aufräumen,to tidy up
aufschreien,to scream
aufstehen,to get up
aufteilen,to divide
auftreten,to occur
aufwachen,to wake up
August,August
aus,out of
ausgeben,to spend
ausgehen,to go out
aussehen,to look (like)
aussteigen,to get out
Australien,Australia
äußern,to express
babysitten,to babysit
bald,soon
basteln,to do handcraft
bauen,to build
bearbeiten,to edit
beginnen,to begin
bei,at the home of
beide,both
bekannt,well-known
bekommen,to receive
beliebt,popular
bequem,comfortable
bereuen,to regret
berühmt,famous
beschreiben,to describe
beschädigen,to damage
besonders,especially
bestellen,to order
besuchen,to visit
bevor,before
bezahlen,to pay
beziehen,to obtain
billig,cheap
bis,until
bitte,please
bitten,to ask
blau,blue
bleiben,to stay
blättern,to scroll
blöd,stupid
böse,angry
braten,to fry
brauchen,to need
braun,brown
brechen,to break
brennen,to burn
bringen,to bring
bunt,brightly coloured
da,there
danke,thank you
dann,then
das,the
das Abendbrot,evening meal
das Auge,eye
das Ausland,abroad
das Auto,car
das Bad,bath
das Bein,leg
das Beispiel,example
das Bett,bed
das Bier,beer
das Bild,picture
das Boot,boat
das Brot,bread
das Brötchen,bread roll
das Buch,book
das Butterbrot,sandwich
das Büro,office
das Dach,roof
das Dorf,village
das Ei,egg
das Einkommen,income
das Eis,ice
das Ende,end
das Erdgeschoss,ground floor
das Fach,subject
das Fahrrad,bicycle
das Fenster,window
das Fest,festival
das Fieber,fever
das Fleisch,meat
das Flugzeug,plane
das Gebäude,building
das Geld,money
das Gelenk,joint
das Gemüse,vegetable
das Geschenk,present
das Geschäft,shop
das Gesicht,face
das Gleis,track
das Gramm,gram
das Gymnasium,high school
das Handy,cell phone
das Haus,house
das Heft,exercise book
das Hemd,shirt
das Hindernis,obstacle
das Hähnchen,chicken
das Jahr,year
das Jugendzentrum,youth centre
das Kaufhaus,department store
das Kind,child
das Kino,cinema
das Klavier,piano
das Kleid,dress
das Land,country
das Lineal,ruler
das Medikament,medicine
das Meer,sea
das Mittagessen,lunch
das Museum,museum
das Mädchen,girl
das Oberteil,top
das Obst,fruit
das Ohr,ear
das Paar,pair
das Paket,parcel
das Papier,paper
das Pferd,horse
das Picknick,picnic
das Rathaus,town hall
das Schaf,sheep
das Schlafzimmer,bedroom
das Schloss,castle
das Schwein,pig
das Schwimmbad,swimming pool
das Stadion,stadium
das Stück,piece
das Tal,valley
das Theater,theatre
das Tier,animal
das Verkehrsamt,tourist info
das Viertel,quarter
das Wasser,water
das Wetter,weather
das Wochenende,weekend
das Wort,word
das Zelt,tent
das Zeugnis,report
das Ziel,goal
das Zimmer,room
dass,that
dauern,to last
decken,to cover
denken,to think
denn,for
der Abend,evening
der Adventskranz,Advent wreath
der Alltag,everyday life
der Apfel,apple
der Arm,arm
der Arzt,doctor
der Aufschnitt,sliced meat
der Ausflug,trip
der Ausgang,exit
der Bahnhof,station
der Bauch,stomach
der Baum,tree
der Berg,mountain
der Bleistift,pencil
der Brief,letter
der Bruder,brother
der Campingplatz,camping ground
der Cent,cent
der Cousin,cousin
der Direktor,principal
der Dom,cathedral
der Duft,fragrance
der Eindruck,impression
der Eingang,entrance
der Einwohner,inhabitant
der Empfänger,recipient
der Euro,Euro
der Fehler,mistake
der Felsen,rock
der Fernseher,TV set
der Fisch,fish
der Flughafen,airport
der Fluss,river
der Freund,friend
der Frühling,spring
der Fuß,foot
der Fußball,football
der Führerschein,driver's licence
der Garten,garden
der Gast,guest
der Geburtstag,birthday
der Geruch,smell
der Grad,degrees
der Großvater,grandfather
der Hafen,harbour
der Handball,handball
der Herbst,autumn
der Herr,gentleman
der Hund,dog
der Imbiss,snack
der Junge,boy
der Kaffee,coffee
der Keller,cellar
der Knochen,bone
der Koffer,suitcase
der Kopf,head
der Krankenpfleger,nurse
der Kuchen,cake
der Kuli,pen
der Käse,cheese
der Körper,body
der Kühlschrank,fridge
der Lehrer,teacher
der Lärm,noise
der Mann,man
der Mantel,coat
der Markt,market
der Mensch,person
der Meter,metre
der Mittag,noon
der Monat,month
der Morgen,morning
der Mund,mouth
der Nachbar,neighbour
der Nachmittag,afternoon
der Nachtisch,dessert
der Name,name
der Onkel,uncle
der Opa,grandad
der Ordner,folder
der Ort,place
der Platz,place
der Postbote,postman
der Rock,skirt
der Rücken,back
der Saft,juice
der Salat,salad
der Schinken,ham
der Schnupfen,cold
der Schrank,cupboard
der Schuh,shoe
der Schulhof,schoolyard
der Schüler,student
der See,lake
der Senf,mustard
der Sommer,summer
der Sonnenbrand,sunburn
der Stiefvater,stepfather
der Stock,floor
der Stoff,material
der Strand,beach
